No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category
6027,shiv sagar hotel,14800,7,1440,$0.09,2,20,https://www.zomato.com/mumbai/hotel-shiv-sagar-worli,Mumbai,Unknown,Unknown,Unknown,Mumbai,Hotel
6028,saki vihar road,12100,8,500,$0.09,12,19,https://www.zomato.com/mumbai/saki-vihar-road-saki-vihar-restaurants,Mumbai,Unknown,Unknown,Unknown,Mumbai,Restaurant
6029,sahar road,14800,7,694,$0.07,5,21,https://www.zomato.com/mumbai/sahar-road-andheri-east-restaurants,Mumbai,Unknown,Unknown,Unknown,Mumbai,Restaurant
6030,rudraksh resort,14800,19,63,$0.09,8,25,https://www.zomato.com/ujjain/rudraksh-club-and-resorts-pawapuri-colony,Ujjain,Unknown,Unknown,Unknown,Ujjain,Hotel
6031,restaurants in khan market delhi,14800,5,2397,$0.01,1,22,https://www.zomato.com/ncr/restaurants/in/khan-market,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant
6032,naks,14800,65,31,$0.89,1,24,https://www.zomato.com/hyderabad/naks-kitchen-nallakunta/photos,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown
6033,metro walk delhi,14800,12,378,$0.01,1,21,https://www.zomato.com/ncr/restaurants/in/metro-walk-mall-rohini,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant
6034,merriment party plot,12100,4,975,$0,9,22,https://www.zomato.com/ahmedabad/merriment-party-plot-sarkhej,Ahmedabad,Unknown,Unknown,Unknown,Ahmedabad,Unknown
6035,mayur pan house hyderabad,9900,3,4499,$0.27,6,20,https://www.zomato.com/hyderabad/mayur-pan-house-abids,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown
6036,mango trees restaurant,14800,6,2397,$0.06,1,21,https://www.zomato.com/hyderabad/the-mango-tree-cafe-gachibowli,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Restaurant
6037,mama miso,12100,4,2397,$0.17,3,23,https://www.zomato.com/goa/mama-miso-elevated-asian-majorda,Unknown,Goa,India,West,Unknown,Unknown
6038,le petit four sunset,14800,32,31,$0.12,3,28,https://www.zomato.com/puducherry/le-petit-four-heritage-town,Puducherry,Puducherry,India,South,Puducherry,Unknown
6039,kavali place,14800,24,63,$0.03,1,20,https://www.zomato.com/kavali,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6040,sandesh the prince hotel,14800,9,291,$0.24,32,22,https://www.zomato.com/mysore/sandesh-the-prince-doora,Mysuru,Unknown,Unknown,Unknown,Mysuru,Unknown
6041,samosa party,12100,9,975,$0.38,2,22,https://www.zomato.com/bangalore/restaurants/samosa-party,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant
6042,royal china bandra,12100,3,4499,$0.31,4,19,https://www.zomato.com/mumbai/royal-china-hill-road-bandra-west,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown
6043,reset by plan b sector 42,12100,3,4499,$0.17,5,23,https://www.zomato.com/ncr/reset-by-plan-b-sector-43,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6044,pvr vikaspuri,14800,10,222,$0.04,3,23,https://www.zomato.com/ncr/restaurants/in/pvr-vikaspuri,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant
6045,pista house secunderabad,9900,4,4499,$0.11,9,19,https://www.zomato.com/hyderabad/pista-house-sd-road-secunderabad,Secunderabad,Unknown,Unknown,Unknown,Secunderabad,Unknown
